symbol,side,entry_time,exit_time,entry_price,exit_price,qty,sl,tp,pnl_bruto,comision,pnl_neto,resultado,capital_post,rsi_entrada,adx_entrada,htf_trend,pos_mult
ETHUSDT,LONG,2025-09-29 11:10:00+00:00,2025-09-29 12:30:00+00:00,4093.12,4119.208,0.512663,4085.6662857142856,4119.208,40.1231,2.3156,37.8075,WIN,547.3071,8.91,48.96,BULLISH,0.5
ETHUSDT,LONG,2025-10-01 17:45:00+00:00,2025-10-01 17:50:00+00:00,4299.14,4287.318285714286,0.347226,4287.318285714286,4340.5160000000005,-12.3144,1.6398,-13.9542,LOSS,533.3529,28.8,69.53,BULLISH,0.5
ETHUSDT,LONG,2025-10-01 17:50:00+00:00,2025-10-01 19:45:00+00:00,4289.47,4333.375000000001,0.318882,4276.925714285714,4333.375000000001,42.0015,1.5123,40.4892,WIN,573.8421,22.36,71.76,BULLISH,0.5
ETHUSDT,LONG,2025-10-02 15:00:00+00:00,2025-10-02 15:20:00+00:00,4342.8,4414.734,0.209405,4322.247428571429,4414.734,45.19,1.0086,44.1814,WIN,618.0235,16.65,36.21,BULLISH,0.5
ETHUSDT,LONG,2025-10-05 09:35:00+00:00,2025-10-05 09:45:00+00:00,4556.1,4542.844285714286,0.349674,4542.844285714286,4602.495,-13.9055,1.7499,-15.6555,LOSS,602.368,19.99,32.75,BULLISH,0.5
ETHUSDT,SHORT,2025-10-08 08:40:00+00:00,2025-10-08 11:10:00+00:00,4493.0,4504.437714285714,0.789976,4504.437714285714,4452.968,-27.1066,3.9093,-31.0158,LOSS,571.3522,81.46,17.18,BEARISH,1.0
ETHUSDT,LONG,2025-10-13 11:20:00+00:00,2025-10-13 11:25:00+00:00,4104.01,4086.206285714286,0.240688,4086.206285714286,4166.323,-12.8554,1.0842,-13.9396,LOSS,557.4126,23.43,76.33,BULLISH,0.5
ETHUSDT,SHORT,2025-10-14 14:15:00+00:00,2025-10-14 15:45:00+00:00,3999.62,4033.658857142857,0.122818,4033.658857142857,3880.484,-12.5418,0.5426,-13.0844,LOSS,544.3282,73.56,27.05,BEARISH,0.5
ETHUSDT,SHORT,2025-10-19 08:15:00+00:00,2025-10-19 08:20:00+00:00,3928.33,3880.765,0.300402,3941.92,3880.765,42.8659,1.2902,41.5756,WIN,585.9038,75.06,57.36,BEARISH,0.5
ETHUSDT,LONG,2025-10-21 17:15:00+00:00,2025-10-21 20:15:00+00:00,3974.8,3945.529428571429,0.150126,3945.529428571429,4077.2470000000003,-13.1828,0.654,-13.8368,LOSS,572.067,23.78,62.25,BULLISH,0.5
ETHUSDT,LONG,2025-10-27 08:25:00+00:00,2025-10-27 11:20:00+00:00,4159.33,4145.0199999999995,0.299825,4145.0199999999995,4209.415,-12.8715,1.3694,-14.2409,LOSS,557.8261,20.32,75.14,BULLISH,0.5
ETHUSDT,LONG,2025-10-27 20:00:00+00:00,2025-10-27 20:10:00+00:00,4162.01,4144.854285714286,0.243866,4144.854285714286,4222.055,-12.5511,1.1142,-13.6653,LOSS,544.1608,26.47,69.11,BULLISH,0.5
ETHUSDT,SHORT,2025-10-29 17:35:00+00:00,2025-10-29 18:35:00+00:00,4005.28,3956.425,0.58476,4019.2385714285715,3956.425,85.7053,2.5606,83.1447,WIN,627.3056,71.16,21.06,BEARISH,1.0
ETHUSDT,SHORT,2025-11-05 15:40:00+00:00,2025-11-05 16:00:00+00:00,3380.15,3402.757142857143,0.416222,3402.757142857143,3301.0249999999996,-28.2288,1.5528,-29.7815,LOSS,597.524,72.27,15.48,BEARISH,1.0
ETHUSDT,SHORT,2025-11-05 16:55:00+00:00,2025-11-05 18:30:00+00:00,3434.88,3452.177142857143,0.51817,3452.177142857143,3374.34,-26.8886,1.9628,-28.8513,LOSS,568.6727,72.68,8.79,BEARISH,1.0
ETHUSDT,LONG,2025-11-10 14:35:00+00:00,2025-11-10 14:45:00+00:00,3576.76,3564.2217142857144,0.340162,3564.2217142857144,3620.6440000000002,-12.7951,1.336,-14.1311,LOSS,554.5415,29.85,47.26,BULLISH,0.5
ETHUSDT,SHORT,2025-11-12 08:35:00+00:00,2025-11-12 09:10:00+00:00,3474.95,3485.1962857142858,0.405909,3485.1962857142858,3439.0879999999997,-12.4772,1.5539,-14.031,LOSS,540.5105,70.09,55.19,BEARISH,0.5
ETHUSDT,SHORT,2025-11-12 17:35:00+00:00,2025-11-12 19:25:00+00:00,3446.14,3374.9739999999997,0.19937,3466.4731428571426,3374.9739999999997,42.5651,0.748,41.8171,WIN,582.3276,72.32,49.87,BEARISH,0.5
ETHUSDT,LONG,2025-11-13 09:05:00+00:00,2025-11-13 09:10:00+00:00,3501.79,3490.582857142857,0.389703,3490.582857142857,3541.0150000000003,-13.1024,1.4987,-14.6011,LOSS,567.7265,29.82,40.56,BULLISH,0.5
ETHUSDT,SHORT,2025-11-18 14:30:00+00:00,2025-11-18 14:35:00+00:00,3071.89,3089.488857142857,0.241945,3089.488857142857,3010.294,-12.7739,0.8199,-13.5938,LOSS,554.1328,74.09,52.68,BEARISH,0.5
ETHUSDT,SHORT,2025-11-19 20:55:00+00:00,2025-11-19 21:05:00+00:00,2944.37,2961.7228571428573,0.478998,2961.7228571428573,2883.6349999999998,-24.936,1.556,-26.4919,LOSS,527.6409,82.43,17.78,BEARISH,1.0
ETHUSDT,LONG,2025-11-25 14:40:00+00:00,2025-11-25 14:45:00+00:00,2878.79,2863.4702857142856,0.258315,2863.4702857142856,2932.4089999999997,-11.8719,0.8158,-12.6878,LOSS,514.9531,22.9,59.31,BULLISH,0.5
ETHUSDT,LONG,2025-11-25 14:45:00+00:00,2025-11-25 15:45:00+00:00,2857.68,2911.4939999999997,0.25119,2842.3045714285713,2911.4939999999997,40.5526,0.797,39.7556,WIN,554.7087,22.76,61.06,BULLISH,0.5
