symbol,side,entry_time,exit_time,entry_price,exit_price,qty,sl,tp,pnl_bruto,comision,pnl_neto,resultado,capital_post,rsi_entrada,adx_entrada,htf_trend,pos_mult
SOLUSDT,SHORT,2025-12-15 14:15:00+00:00,2025-12-15 14:45:00+00:00,134.35,131.815,10.46357,135.0742857142857,131.815,79.5754,1.5318,78.0437,WIN,1088.5256,80.42,38.81,BEARISH,0.5
SOLUSDT,SHORT,2025-12-17 11:35:00+00:00,2025-12-17 12:50:00+00:00,127.65,128.0074285714286,22.840766,128.0074285714286,126.399,-24.4918,3.2117,-27.7035,LOSS,1060.8221,78.38,29.32,BEARISH,0.5
SOLUSDT,SHORT,2025-12-23 20:40:00+00:00,2025-12-23 22:35:00+00:00,125.2,123.661,36.187889,125.63971428571429,123.661,167.0795,4.9532,162.1263,WIN,1222.9484,76.66,24.53,BEARISH,1.0
SOLUSDT,SHORT,2025-12-24 15:45:00+00:00,2025-12-24 16:30:00+00:00,122.59,123.21485714285716,14.678736,123.21485714285716,120.40299999999999,-27.5163,1.9845,-29.5008,LOSS,1193.4476,73.35,52.73,BEARISH,0.5
SOLUSDT,LONG,2025-12-29 09:35:00+00:00,2025-12-29 09:40:00+00:00,126.65,126.24714285714286,22.21844,126.24714285714286,128.06,-26.8526,3.0904,-29.943,LOSS,1163.5046,23.72,38.07,BULLISH,0.5
SOLUSDT,LONG,2025-12-30 17:45:00+00:00,2025-12-30 18:25:00+00:00,124.66,124.25457142857142,21.523606,124.25457142857142,126.07900000000001,-26.1789,2.9466,-29.1255,LOSS,1134.3791,27.16,52.08,BULLISH,0.5
SOLUSDT,LONG,2026-01-05 17:20:00+00:00,2026-01-05 17:50:00+00:00,134.45,136.232,16.71013,133.94085714285714,136.232,89.3324,2.4877,86.8446,WIN,1221.2238,27.5,50.39,BULLISH,0.5
SOLUSDT,LONG,2026-01-06 16:25:00+00:00,2026-01-06 16:40:00+00:00,139.34,138.49057142857143,10.782753,138.49057142857143,142.313,-27.4775,1.6477,-29.1252,LOSS,1192.0986,23.1,42.01,BULLISH,0.5
SOLUSDT,LONG,2026-01-11 20:10:00+00:00,2026-01-11 20:15:00+00:00,138.73,138.3057142857143,21.072449,138.3057142857143,140.21499999999997,-26.8222,3.2108,-30.033,LOSS,1162.0655,29.21,40.56,BULLISH,0.5
SOLUSDT,LONG,2026-01-11 20:15:00+00:00,2026-01-11 23:00:00+00:00,138.05,137.57257142857145,18.255069,137.57257142857145,139.721,-26.1465,2.7673,-28.9138,LOSS,1133.1517,24.57,41.9,BULLISH,0.5
SOLUSDT,LONG,2026-01-12 08:35:00+00:00,2026-01-12 08:40:00+00:00,140.25,139.74514285714287,16.833748,139.74514285714287,142.01699999999997,-25.4959,2.5924,-28.0883,LOSS,1105.0635,27.03,49.48,BULLISH,0.5
SOLUSDT,LONG,2026-01-12 08:40:00+00:00,2026-01-12 08:45:00+00:00,139.49,138.94828571428573,15.299534,138.94828571428573,141.386,-24.8639,2.343,-27.2069,LOSS,1077.8566,24.04,51.32,BULLISH,0.5
SOLUSDT,LONG,2026-01-14 11:15:00+00:00,2026-01-14 12:00:00+00:00,143.78,143.39085714285713,20.773667,143.39085714285713,145.14200000000002,-24.2518,3.2811,-27.5328,LOSS,1050.3237,18.55,68.92,BULLISH,0.5
SOLUSDT,LONG,2026-01-14 17:35:00+00:00,2026-01-14 18:35:00+00:00,146.26,145.56914285714285,11.402398,145.56914285714285,148.678,-23.6323,1.8302,-25.4624,LOSS,1024.8613,27.81,28.62,BULLISH,0.5
SOLUSDT,SHORT,2026-01-21 14:20:00+00:00,2026-01-21 14:55:00+00:00,128.88,129.504,12.318044,129.504,126.696,-23.0594,1.7505,-24.8099,LOSS,1000.0514,70.06,52.45,BEARISH,0.5
SOLUSDT,SHORT,2026-01-26 15:10:00+00:00,2026-01-26 18:30:00+00:00,124.85,125.53914285714285,21.767287,125.53914285714285,122.438,-45.0023,2.9977,-48.0,LOSS,952.0514,70.59,22.54,BEARISH,1.0
SOLUSDT,LONG,2026-01-28 15:10:00+00:00,2026-01-28 17:30:00+00:00,125.75,125.25457142857142,14.412543,125.25457142857142,127.484,-21.4212,1.9897,-23.4108,LOSS,928.6405,23.91,58.76,BULLISH,0.5
SOLUSDT,SHORT,2026-02-02 14:35:00+00:00,2026-02-02 14:40:00+00:00,104.34,104.91257142857143,12.164079,104.91257142857143,102.33600000000001,-20.8944,1.4,-22.2944,LOSS,906.3462,72.43,25.09,BEARISH,0.5
SOLUSDT,SHORT,2026-02-03 20:30:00+00:00,2026-02-03 21:05:00+00:00,100.85,101.72,15.626658,101.72,97.80499999999999,-40.7856,1.741,-42.5266,LOSS,863.8196,71.87,11.14,BEARISH,1.0
SOLUSDT,SHORT,2026-02-05 09:05:00+00:00,2026-02-05 09:15:00+00:00,92.78,93.3397142857143,23.149836,93.3397142857143,90.821,-38.8719,2.3698,-41.2416,LOSS,822.5779,84.08,20.33,BEARISH,1.0
SOLUSDT,SHORT,2026-02-05 14:35:00+00:00,2026-02-05 15:00:00+00:00,91.09,88.22200000000001,15.057651,91.90942857142858,88.22200000000001,129.556,1.485,128.071,WIN,950.649,75.09,23.74,BEARISH,1.0
SOLUSDT,SHORT,2026-02-09 15:00:00+00:00,2026-02-09 16:45:00+00:00,85.62,86.16257142857144,13.140882,86.16257142857144,83.721,-21.3896,1.2416,-22.6312,LOSS,928.0178,83.83,39.61,BEARISH,0.5
SOLUSDT,SHORT,2026-02-10 14:15:00+00:00,2026-02-10 14:35:00+00:00,85.07,83.84299999999999,19.853682,85.42057142857142,83.84299999999999,73.0814,1.8444,71.237,WIN,999.2548,74.27,43.9,BEARISH,0.5
SOLUSDT,SHORT,2026-02-11 14:10:00+00:00,2026-02-11 14:40:00+00:00,82.83,80.676,24.355095,83.44542857142856,80.676,157.3826,2.1902,155.1924,WIN,1154.4472,73.91,11.99,BEARISH,1.0
SOLUSDT,SHORT,2026-02-16 09:25:00+00:00,2026-02-16 09:40:00+00:00,85.99,86.23599999999999,35.19656,86.23599999999999,85.12899999999999,-25.9751,3.334,-29.309,LOSS,1125.1381,71.43,48.92,BEARISH,0.5
SOLUSDT,SHORT,2026-02-17 18:40:00+00:00,2026-02-17 19:10:00+00:00,85.07,85.51914285714285,18.788089,85.51914285714285,83.49799999999999,-25.3156,1.7628,-27.0784,LOSS,1098.0598,78.78,63.45,BEARISH,0.5
SOLUSDT,SHORT,2026-02-18 15:35:00+00:00,2026-02-18 18:20:00+00:00,83.69,81.63799999999999,14.046817,84.27628571428572,81.63799999999999,86.4722,1.2773,85.1949,WIN,1183.2547,72.54,57.14,BEARISH,0.5
SOLUSDT,SHORT,2026-02-23 09:30:00+00:00,2026-02-23 09:35:00+00:00,79.65,79.93542857142857,31.091527,79.93542857142857,78.65100000000001,-26.6232,2.729,-29.3522,LOSS,1153.9025,80.49,61.09,BEARISH,0.5
SOLUSDT,SHORT,2026-02-23 09:35:00+00:00,2026-02-23 09:50:00+00:00,80.13,80.45314285714285,26.781556,80.45314285714285,78.999,-25.9628,2.3654,-28.3282,LOSS,1125.5743,84.31,57.33,BEARISH,0.5
SOLUSDT,LONG,2026-02-26 11:15:00+00:00,2026-02-26 13:45:00+00:00,86.73,87.92099999999999,24.807998,86.38971428571429,87.92099999999999,88.639,2.383,86.256,WIN,1211.8303,13.16,56.83,BULLISH,0.5
SOLUSDT,LONG,2026-02-26 15:15:00+00:00,2026-02-26 16:45:00+00:00,85.61,84.87285714285714,12.329669,84.87285714285714,88.19000000000001,-27.2662,1.1561,-28.4223,LOSS,1183.408,29.52,47.58,BULLISH,0.5
SOLUSDT,LONG,2026-03-01 08:50:00+00:00,2026-03-01 09:00:00+00:00,85.27,84.91942857142857,25.317408,84.91942857142857,86.497,-26.6267,2.3698,-28.9965,LOSS,1154.4115,22.8,74.03,BULLISH,0.5
SOLUSDT,LONG,2026-03-02 17:40:00+00:00,2026-03-03 02:00:00+00:00,86.64,85.90028571428572,11.704636,85.90028571428572,89.229,-25.9743,1.1107,-27.085,LOSS,1127.3265,29.43,41.25,BULLISH,0.5
SOLUSDT,LONG,2026-03-09 11:15:00+00:00,2026-03-09 13:10:00+00:00,83.21,84.209,29.621943,82.92457142857143,84.209,88.777,2.7276,86.0494,WIN,1213.3759,26.19,61.42,BULLISH,0.5
SOLUSDT,LONG,2026-03-10 14:10:00+00:00,2026-03-10 14:50:00+00:00,85.14,87.13199999999999,15.989516,84.57085714285715,87.13199999999999,95.5533,1.515,94.0383,WIN,1307.4142,27.99,45.67,BULLISH,0.5
SOLUSDT,LONG,2026-03-10 18:10:00+00:00,2026-03-10 18:20:00+00:00,87.01,86.524,20.176145,86.524,88.71100000000001,-29.4168,1.9257,-31.3425,LOSS,1276.0717,26.24,31.46,BULLISH,0.5
SOLUSDT,LONG,2026-03-16 08:40:00+00:00,2026-03-16 12:00:00+00:00,92.64,94.03200000000001,24.063852,92.24228571428571,94.03200000000001,100.4906,2.4706,98.02,WIN,1374.0917,29.96,50.53,BULLISH,0.5
SOLUSDT,LONG,2026-03-17 09:55:00+00:00,2026-03-17 10:15:00+00:00,93.84,93.47142857142858,27.961169,93.47142857142858,95.13,-30.9171,2.8806,-33.7977,LOSS,1340.2941,28.44,38.34,BULLISH,0.5
SOLUSDT,SHORT,2026-03-18 17:35:00+00:00,2026-03-18 18:00:00+00:00,90.26,90.61828571428572,28.056395,90.61828571428572,89.006,-30.1566,2.7911,-32.9478,LOSS,1307.3463,79.58,64.45,BEARISH,0.5
SOLUSDT,SHORT,2026-03-18 18:00:00+00:00,2026-03-18 20:05:00+00:00,90.71,89.18599999999998,22.518268,91.14542857142857,89.18599999999998,102.9535,2.228,100.7255,WIN,1408.0718,74.47,37.4,BEARISH,0.5
SOLUSDT,SHORT,2026-03-19 09:50:00+00:00,2026-03-19 09:55:00+00:00,90.03,90.35228571428571,65.535258,90.35228571428571,88.90200000000002,-63.3632,6.5018,-69.865,LOSS,1338.2068,74.82,24.99,BEARISH,1.0
SOLUSDT,SHORT,2026-03-19 09:55:00+00:00,2026-03-19 12:25:00+00:00,90.15,88.959,58.988966,90.49028571428572,88.959,210.7676,5.811,204.9566,WIN,1543.1634,76.19,22.82,BEARISH,1.0
SOLUSDT,LONG,2026-03-25 14:20:00+00:00,2026-03-25 15:05:00+00:00,92.01,91.62085714285715,59.483171,91.62085714285715,93.37200000000001,-69.4424,6.0076,-75.45,LOSS,1467.7134,14.29,24.76,BULLISH,1.0
SOLUSDT,LONG,2026-03-25 15:15:00+00:00,2026-03-25 16:25:00+00:00,91.15,92.50300000000001,28.475593,90.76342857142858,92.50300000000001,115.5824,2.8763,112.7061,WIN,1580.4196,18.91,65.56,BULLISH,0.5
SOLUSDT,SHORT,2026-03-31 14:15:00+00:00,2026-03-31 14:50:00+00:00,82.34,80.822,54.658779,82.77371428571429,80.822,248.9161,4.905,244.011,WIN,1824.4306,78.3,17.69,BEARISH,1.0
SOLUSDT,SHORT,2026-03-31 16:40:00+00:00,2026-03-31 17:10:00+00:00,82.34,82.772,31.674143,82.772,80.828,-41.0497,2.8764,-43.9261,LOSS,1780.5045,73.75,34.29,BEARISH,0.5
